"COUNTY","COUNTYNAME","CITYNAME","REGION","STATE","COUNTYCODE","IsHotspot","Hotspot","UFOReports","CEs","UFOReports21stCent","RateUFOper100000","RateCEper100000","RateUFO21stCent","Rank","POP1990","POP1960","POPDIF6090","EDUC1960","Ocean","Lake","River","Interstate","Military","Nuclear","LONGITUDE","LATITUDE"
"Greene","Greene","Eutaw","US","AL","32","0",,"0","0",,"0.0","0.0",,,"10153.0","13600.0",,"174.0","0","1","1","1","0","0","87.87","32.85"
"Hale","Hale","Greensboro","US","AL","33","0",,"2","1",,"12.9048909536714","6.45244547683572",,,"15498.0","19537.0",,"183.0","0","1","1","0","0","0","87.63","32.7"
"Henry","Henry","Abbeville","US","AL","34","0",,"0","0",,"0.0","0.0",,,"15374.0","15286.0",,"191.0","0","1","1","0","0","0","85.27","31.58"
"Houston","Houston","Dothan","US","AL","35","0",,"6","2",,"7.3772608230564","2.4590869410188",,,"81331.0","50718.0",,"294.0","0","0","1","0","0","1","85.42","31.2"
"Jackson","Jackson","Scottsboro","US","AL","36","0",,"3","1",,"6.27667587245795","2.09222529081932",,,"47796.0","36681.0",,"174.0","0","1","0","0","0","1","86.0","34.67"
"Jefferson","Jefferson","Birmingham","US","AL","37","1","Birmingham","68","8",,"10.4370515329419","1.22788841564023",,"535","651525.0","634864.0",,"368.0","0","1","0","1","0","0","86.92","33.5"
"Lamar","Lamar","Vernon","US","AL","38","0",,"2","0",,"12.7266942411709","0.0",,,"15715.0","14271.0",,"179.0","0","0","0","0","0","0","88.13","33.72"
"Lauderdale","Lauderdale","Florence","US","AL","39","1","Lexington","28","16",,"35.1489436487114","20.0851106564065",,"130","79661.0","61622.0",,"327.0","0","0","1","0","0","0","87.67","34.8"
"Lawrence","Lawrence","Moulton","US","AL","40","0",,"3","1",,"9.51988068416209","3.17329356138736",,,"31513.0","24501.0",,"178.0","0","1","0","1","0","0","87.3","34.47"
"Lee","Lee","Opelika","US","AL","41","0",,"14","2",,"16.064994377252","2.29499919675028",,,"87146.0","49754.0",,"359.0","0","1","1","1","0","0","85.43","32.65"
"Limestone","Limestone","Athens","US","AL","42","1",,"10","6",,"18.4723376743327","11.0834026045996",,"236","54135.0","36513.0",,"239.0","0","1","0","1","0","0","86.98","34.83"
"Lowndes","Lowndes","Hayneville","US","AL","43","0",,"4","1",,"31.6005688102386","7.90014220255965",,,"12658.0","15417.0",,"186.0","0","0","1","1","0","0","86.58","32.18"
"Macon","Macon","Tuskegee","US","AL","44","0",,"4","2",,"16.0462130937099","8.02310654685494",,,"24928.0","26717.0",,"295.0","0","0","0","1","0","0","85.68","32.42"
"Madison","Madison","Huntsville","US","AL","45","1",,"44","5",,"18.4168229306188","2.09282078757032",,"456","238912.0","173285.0",,"430.0","0","1","0","0","1","0","86.58","34.73"
"Marengo","Marengo","Linden","US","AL","46","0",,"2","2",,"8.66400970369087","8.66400970369087",,,"23084.0","27098.0",,"236.0","0","1","0","0","0","0","87.82","32.32"
"Marion","Marion","Hamilton","US","AL","47","0",,"4","1",,"13.4093194770365","3.35232986925914",,,"29830.0","21837.0",,"191.0","0","0","0","0","0","0","88.0","34.15"
"Marshall","Marshall","Guntersville","US","AL","48","0",,"11","0",,"15.5297040885475","0.0",,,"70832.0","48018.0",,"238.0","0","1","0","0","0","0","86.3","34.33"
"Mobile","Mobile","Mobile","US","AL","49","1","Mobile/Dawes","71","24",,"18.7511719482468","6.33842432053412",,"325","378643.0","314301.0",,"379.0","1","1","1","1","1","0","88.08","30.67"
"Monroe","Monroe","Monroeville","US","AL","50","0",,"0","0",,"0.0","0.0",,,"23968.0","22372.0",,"218.0","0","0","1","0","0","0","87.35","31.53"
"Montgomery","Montgomery","Montgomery","US","AL","51","1",,"28","5",,"13.3916828084272","2.39137193007628",,"483","209085.0","169210.0",,"447.0","0","0","1","1","1","0","86.33","32.36"
"Morgan","Morgan","Decatur","US","AL","52","0",,"9","3",,"8.99613166338474","2.99871055446158",,,"100043.0","60454.0",,"328.0","0","1","0","1","0","1","87.0","34.6"
"Perry","Perry","Marion","US","AL","53","0",,"1","0",,"7.83760482796457","0.0",,,"12759.0","17358.0",,"222.0","0","0","0","0","0","0","87.33","32.62"
"Pickens","Pickens","Carrollton","US","AL","54","0",,"0","0",,"0.0","0.0",,,"20699.0","21882.0",,"216.0","0","0","1","0","0","0","88.1","33.27"
"Pike","Pike","Troy","US","AL","55","0",,"2","0",,"7.24768979887661","0.0",,,"27595.0","25987.0",,"248.0","0","0","0","0","0","0","86.0","31.49"
"Randolph","Randolph","Wedowee","US","AL","56","0","Wadley","5","2",,"25.1496403601429","10.0598561440571",,,"19881.0","19479.0",,"200.0","0","0","0","0","0","0","85.29","33.2"
"Russell","Russell","Phenix City","US","AL","57","0",,"1","1",,"2.13401621852326","2.13401621852326",,,"46860.0","46351.0",,"172.0","0","0","1","0","0","0","85.01","32.28"
"St Clair","St Clair","Pell City","US","AL","58","0",,"6","1",,"6.03876889631434","1.00646148271906",,,"99358.0","25388.0",,"180.0","0","1","0","1","0","0","86.18","33.33"
"Shelby","Shelby","Columbiana","US","AL","59","0",,"7","1",,"13.9974804535184","1.99964006478834",,,"50009.0","32132.0",,"232.0","0","0","1","1","0","0","86.37","33.11"
"Sumter","Sumter","Livingston","US","AL","60","0",,"0","0",,"0.0","0.0",,,"16174.0","20041.0",,"202.0","0","0","1","1","0","0","88.12","32.35"
"Talladega","Talladega","Talladega","US","AL","61","0",,"8","1",,"10.7952015329186","1.34940019161483",,,"74107.0","65495.0",,"277.0","0","1","1","1","0","0","86.07","33.25"
"Tallapoosa","Tallapoosa","Dadeville","US","AL","62","0",,"4","1",,"10.3023746973677","2.57559367434194",,,"38826.0","35007.0",,"247.0","0","1","0","0","0","0","85.45","32.5"
"Tuscaloosa","Tuscaloosa","Tuscaloosa","US","AL","63","0",,"13","2",,"8.63661125948366","1.32870942453595",,,"150522.0","109047.0",,"340.0","0","1","0","1","0","0","87.33","33.12"
"Walker","Walker","Jasper","US","AL","64","0",,"9","4",,"13.2998374464312","5.91103886508054",,,"67670.0","54211.0",,"205.0","0","1","0","0","0","0","87.18","33.48"
"Washington","Washington","Chatom","US","AL","65","0",,"1","0",,"5.99017611117767","0.0",,,"16694.0","15372.0",,"199.0","0","0","1","0","0","0","88.17","31.28"
"Wilcox","Wilcox","Camden","US","AL","66","0",,"0","0",,"0.0","0.0",,,"13568.0","18739.0",,"203.0","0","1","1","0","0","0","87.19","32.0"
"Winston","Winston","Double Springs","US","AL","67","0",,"0","0",,"0.0","0.0",,,"22053.0","14858.0",,"186.0","0","1","0","0","0","0","87.24","34.08"
"Arkansas","Arkansas","Stuttgart","US","AR","01","0",,"4","0",,"18.4731907818778","0.0",,,"21653.0","23355.0",,"284.0","0","0","1","0","0","0","91.32","34.3"
"Ashley","Ashley","Hamburg","US","AR","02","0",,"5","2",,"20.5600559233521","8.22",,,"24319.0","24220.0",,"254.0","0","0","0","0","0","0","91.5","33.13"
"Baxter","Baxter","Mountain Home","US","AR","03","0","Mountain Home","15","3",,"48.098505739755","9.619701147951",,,"31186.0","9943.0",,"300.0","0","1","0","0","0","0","92.23","36.21"
"Benton","Benton","Bentonville","US","AR","04","1","Rogers/Bentonville","32","11",,"32.8208494446097","10.2565154514405",,"189","97499.0","36272.0",,"334.0","0","1","0","0","0","0","94.13","36.23"
"Boone","Boone","Harrison","US","AR","05","0","Harrison","10","2",,"35.3394352758243","7.06788705516486",,,"28297.0","16116.0",,"316.0","0","1","0","0","0","0","93.07","36.13"
"Bradley","Bradley","Warren","US","AR","06","0",,"3","0",,"25.4388196387688","0.0",,,"11793.0","14029.0",,"231.0","0","0","0","0","0","0","92.05","33.38"
"Calhoun","Calhoun","Hampton","US","AR","07","0",,"0","0",,"0.0","0.0",,,"5826.0","5991.0",,"209.0","0","0","0","0","0","0","92.28","33.33"
"Carroll","Carroll","Berryville","US","AR","08","0","Berryville","11","4",,"58.9685858260963","21.4431221185805",,,"18654.0","11284.0",,"291.0","0","1","0","0","0","0","93.35","36.22"
"Chicot","Chicot","Lake Village","US","AR","09","0",,"1","1",,"6.36415706739642","6.36415706739642",,,"15713.0","18990.0",,"204.0","0","0","1","0","0","0","91.19","33.2"
"Clark","Clark","Arkadelphia","US","AR","10","0",,"2","0",,"9.32966366562485","0.0",,,"21437.0","20950.0",,"301.0","0","1","0","1","0","0","93.06","34.07"
"Clay","Clay","Piggott","US","AR","11","0","Piggott","14","4",,"77.3181642458718","22.0909040702491",,,"18107.0","21258.0",,"169.0","0","0","1","0","0","0","90.18","36.36"
"Cleburne","Cleburne","Heber Springs","US","AR","12","0",,"2","0",,"10.3034361959714","0.0",,,"19411.0","9059.0",,"215.0","0","1","0","0","0","0","92.01","35.3"
"Cleveland","Cleveland","Rison","US","AR","13","0",,"0","0",,"0.0","0.0",,,"7781.0","6944.0",,"170.0","0","0","0","0","0","0","92.11","33.58"
"Columbia","Columbia","Magnolia","US","AR","14","0",,"6","1",,"23.3544821143591","3.89241368572652",,,"25691.0","26400.0",,"305.0","0","0","0","0","0","0","93.16","33.17"
"Conway","Conway","Morrilton","US","AR","15","0","Morrilton","10","1",,"52.216594433711","5.2216594433711",,,"19151.0","15430.0",,"245.0","0","1","1","1","0","0","92.45","35.09"
"Craighead","Craighead","Jonesboro","US","AR","16","0",,"11","3",,"15.9522014037937","4.35",,,"68956.0","48253.0",,"273.0","0","0","0","0","0","0","90.41","35.5"
"Crawford","Crawford","Van Buren","US","AR","17","0",,"8","2",,"18.8266302685148","4.7066575671287",,,"42493.0","21318.0",,"233.0","0","0","1","1","0","0","94.17","35.28"
"Crittenden","Crittenden","Marion","US","AR","18","0",,"6","0",,"12.0146578826168","0.0",,,"49939.0","47564.0",,"208.0","0","0","1","1","0","0","90.12","35.12"
"Cross","Cross","Wynne","US","AR","19","0",,"0","0",,"0.0","0.0",,,"19225.0","19551.0",,"195.0","0","0","0","0","0","0","90.48","35.14"
"Dallas","Dallas","Fordyce","US","AR","20","0",,"3","1",,"31.2044934470564","10.4",,,"9614.0","10522.0",,"238.0","0","0","1","0","0","0","92.23","33.49"
"Desha","Desha","Arkansas City","US","AR","21","0",,"1","0",,"5.95308965353018","0.0",,,"16798.0","20770.0",,"213.0","0","0","1","0","0","0","91.13","33.35"
"Drew","Drew","Monticello","US","AR","22","0",,"2","2",,"11.5147676895619","11.5147676895619",,,"17369.0","15213.0",,"222.0","0","1","0","0","0","0","91.49","33.38"
"Faulkner","Faulkner","Conway","US","AR","23","0",,"12","3",,"19.99800019998","4.999500049995",,,"60006.0","24303.0",,"321.0","0","1","1","1","0","0","92.27","35.05"
"Franklin","Franklin","Ozark","US","AR","24","0",,"0","0",,"0.0","0.0",,,"14897.0","10213.0",,"240.0","0","0","1","1","0","0","93.5","35.3"
"Fulton","Fulton","Salem","US","AR","25","0",,"2","0",,"19.9262727906745","0.0",,,"10037.0","6657.0",,"166.0","0","1","0","0","0","0","91.51","36.21"
"Garland","Garland","Hot Springs","US","AR","26","1","Hot Springs","24","5",,"32.6988841505784","5.44981402509639",,"253","73397.0","46697.0",,"331.0","0","1","1","0","0","0","93.02","34.3"
"Grant","Grant","Sheridan","US","AR","27","0",,"3","1",,"21.5084599942644","7.1694866647548",,,"13948.0","8294.0",,"238.0","0","0","0","0","0","0","92.22","34.18"
"Greene","Greene","Paragould","US","AR","28","1","Paragould","11","5",,"34.5868444220853","12.5770343353037",,"153","31804.0","25198.0",,"204.0","0","0","1","0","0","0","90.3","36.02"
"Hempstead","Hempstead","Hope","US","AR","29","0",,"7","1",,"32.3759308080107","0.0",,,"21621.0","19661.0",,"263.0","0","1","1","1","0","0","93.39","33.4"
"Hot Spring","Hot Spring","Malvern","US","AR","30","0",,"4","1",,"15.3168677005552","3.82921692513881",,,"26115.0","21893.0",,"281.0","0","1","0","1","0","0","92.5","34.21"
"Howard","Howard","Nashville","US","AR","31","0","Nashville","7","5",,"51.5881789372835","36.8486992409168",,,"13569.0","10878.0",,"273.0","0","1","0","0","0","0","93.5","33.57"
"Independence","Independence","Batesville","US","AR","32","0",,"5","0",,"16.0297512182611","0.0",,,"31192.0","20048.0",,"247.0","0","0","0","0","0","0","91.39","35.45"
"Izard","Izard","Melbourne","US","AR","33","0",,"1","0",,"8.79971840901091","0.0",,,"11364.0","6766.0",,"166.0","0","0","0","0","0","0","91.9","36.0"
"Jackson","Jackson","Newport","US","AR","34","0","Newport","8","2",,"42.2297297297297","10.5574324324324",,,"18944.0","22843.0",,"201.0","0","0","0","1","0","0","91.16","35.35"
"Jefferson","Jefferson","Pine Bluff","US","AR","35","0",,"7","2",,"8.18837951969305","2.33953700562659",,,"85487.0","81373.0",,"309.0","0","0","1","1","1","1","92.0","34.13"
"Johnson","Johnson","Clarksville","US","AR","36","0",,"5","2",,"27.4408649360628","5.48817298721256",,,"18221.0","12421.0",,"250.0","0","1","1","1","0","0","93.29","35.29"
"Lafayette","Lafayette","Lewisville","US","AR","37","0",,"0","0",,"0.0","0.0",,,"9643.0","11030.0",,"224.0","0","1","1","0","0","0","93.38","33.21"
"Lawrence","Lawrence","Walnut Ridge","US","AR","38","0","Imboden","5","0",,"28.6418055794237","0.0",,,"17457.0","17267.0",,"194.0","0","0","0","0","0","0","90.58","36.03"
"Lee","Lee","Marianna","US","AR","39","0",,"1","0",,"7.66107408258638","0.0",,,"13053.0","21001.0",,"142.0","0","0","1","0","0","0","90.49","34.46"
"Lincoln","Lincoln","Star City","US","AR","40","0",,"0","0",,"0.0","0.0",,,"13690.0","14447.0",,"174.0","0","0","1","0","0","0","91.52","33.56"
"Little River","Little River","Ashdown","US","AR","41","0","Ashdown/Foreman","7","2",,"50.121724187312","14.3204926249463",,,"13966.0","9211.0",,"225.0","0","1","1","0","0","0","94.09","33.4"
"Logan","Logan","Paris","US","AR","42","0",,"1","0",,"4.86452303351656","0.0",,,"20557.0","15957.0",,"225.0","0","1","1","0","0","0","93.46","35.17"
"Lonoke","Lonoke","Lonoke","US","AR","43","0",,"8","2",,"20.3728226545788","5.0932056636447",,,"39268.0","24551.0",,"229.0","0","0","0","1","0","0","91.56","34.46"
"Madison","Madison","Huntsville","US","AR","44","0","Huntsville","7","3",,"60.2513341366845","25.8220003442933",,,"11618.0","9068.0",,"142.0","0","0","0","0","0","0","93.46","36.04"
"Marion","Marion","Yellville","US","AR","45","0","Flippin","8","2",,"66.6611115740355","16.6652778935089",,,"12001.0","6041.0",,"288.0","0","1","1","0","0","0","92.68","36.2"
"Miller","Miller","Texarkana","US","AR","46","1","Texarkana","25","11",,"64.9907713104739","28.5959393766085",,"86","38467.0","31686.0",,"283.0","0","0","1","1","0","0","94.02","33.28"
"Mississippi","Mississippi","Blythville","US","AR","47","0",,"8","2",,"13.9069969578444","3.4767492394611",,,"57525.0","70174.0",,"226.0","0","0","1","1","1","0","89.56","35.56"
"Monroe","Monroe","Clarendon","US","AR","48","0",,"1","0",,"8.82378893496868","0.0",,,"11333.0","17327.0",,"190.0","0","0","0","1","0","0","91.19","34.41"
"Montgomery","Montgomery","Mount Ida","US","AR","49","0",,"1","1",,"12.7534753220253","12.7534753220253",,,"7841.0","5370.0",,"213.0","0","1","0","0","0","0","93.38","34.32"
"Nevada","Nevada","Prescott","US","AR","50","0",,"0","0",,"0.0","0.0",,,"10101.0","10700.0",,"206.0","0","0","0","1","0","0","93.25","33.49"
"Newton","Newton","Jasper","US","AR","51","0","Boxley","6","0",,"78.2676754500391","0.0",,,"7666.0","5963.0",,"140.0","0","0","0","0","0","0","93.11","36.0"
"Ouachita","Ouachita","Camden","US","AR","52","0",,"3","1",,"9.81225878197161","3.27075292732387",,,"30574.0","31641.0",,"301.0","0","1","0","0","0","0","92.49","33.32"
"Perry","Perry","Perryville","US","AR","53","0",,"4","0",,"50.1945037018446","0.0",,,"7969.0","4927.0",,"192.0","0","0","1","0","0","0","92.48","35.0"
"Phillips","Phillips","Helena","US","AR","54","0",,"2","0",,"6.93529370968861","0.0",,,"28838.0","43997.0",,"197.0","0","0","1","0","0","0","90.35","34.3"
"Pike","Pike","Murfreesboro","US","AR","55","0",,"0","0",,"0.0","0.0",,,"10086.0","7864.0",,"190.0","0","1","0","0","0","0","93.42","34.04"
"Poinsett","Poinsett","Harrisburg","US","AR","56","0","Trumann/Harrisburg","14","3",,"56.7628932857606","12.163477132663",,,"24664.0","30834.0",,"169.0","0","0","0","0","0","0","90.6","35.6"
"Polk","Polk","Mena","US","AR","57","0",,"2","0",,"11.529371072808","0.0",,,"17347.0","11981.0",,"238.0","0","0","0","0","0","0","94.3","34.6"
"Pope","Pope","Russellville","US","AR","58","0",,"15","1",,"32.6918466534446","2.17945644356298",,,"45883.0","21177.0",,"275.0","0","1","1","1","0","1","93.06","35.17"
"Prairie","Prairie","Des Arc","US","AR","59","0",,"0","0",,"0.0","0.0",,,"9518.0","10515.0",,"217.0","0","1","0","1","0","0","91.3","34.58"
"Pulaski","Pulaski","Little Rock","US","AR","60","0",,"66","4",,"18.8754790367786","0.857976319853572",,,"349660.0","242980.0",,"468.0","0","0","1","1","1","0","92.17","34.42"
"Randolph","Randolph","Pocahontas","US","AR","61","0",,"6","0",,"36.2362604179249","0.0",,,"16558.0","12520.0",,"211.0","0","0","0","0","0","0","91.0","36.15"
"St Francis","St Francis","Forrest City","US","AR","62","0",,"3","1",,"10.527423939362","7.01828262624136",,,"28497.0","33303.0",,"190.0","0","0","0","1","0","0","90.8","35.0"
"Saline","Saline","Waldron","US","AR","63","0",,"3","2",,"4.67413489553309","3.11608993035539",,,"64183.0","28956.0",,"250.0","0","1","0","1","0","0","92.35","34.34"
"Searcy","Searcy","Marshall","US","AR","65","0","Marshall","14","1",,"178.548654508354","12.7534753220253",,,"7841.0","8124.0",,"157.0","0","0","0","0","0","0","92.4","35.54"
"Sebastian","Sebastian","Fort Smith","US","AR","66","1","Fort Smith","36","6",,"36.1482076513706","6.02470127522844",,"251","99590.0","66685.0",,"400.0","0","0","1","1","1","0","94.27","35.22"
"Sevier","Sevier","De Queen","US","AR","67","0",,"3","1",,"21.9989733812422","7.33299112708074",,,"13637.0","10156.0",,"265.0","0","1","0","0","0","0","94.2","34.02"
"Sharp","Sharp","Hardy","US","AR","68","0",,"1","0",,"7.0876745339854","0.0",,,"14109.0","6319.0",,"218.0","0","0","0","0","0","0","91.29","36.19"
"Stone","Stone","Mountain View","US","AR","69","0",,"3","0",,"30.690537084399","0.0",,,"9775.0","6294.0",,"166.0","0","0","0","0","0","0","92.08","35.51"
"Union","Union","El Dorado","US","AR","70","0",,"7","0",,"14.9831974143282","0.0",,,"46719.0","49518.0",,"382.0","0","0","0","0","0","0","92.4","33.12"
"Van Buren","Van Buren","Clinton","US","AR","71","0",,"1","0",,"7.13877784123358","0.0",,,"14008.0","7228.0",,"169.0","0","1","0","0","0","0","92.28","35.34"
"Washington","Washington","Fayetteville","US","AR","72","1","Springdale","39","8",,"34.3888051212867","6.17234963715402",,"237","113409.0","55797.0",,"391.0","0","1","0","0","0","0","94.1","36.03"
"White","White","Searcy","US","AR","73","0",,"8","1",,"14.6316482551759","1.82895603189699",,,"54676.0","32745.0",,"241.0","0","0","0","0","0","0","91.43","35.14"
"Woodruff","Woodruff","Augusta","US","AR","74","0",,"3","0",,"31.5126050420168","0.0",,,"9520.0","13954.0",,"193.0","0","0","0","0","0","0","91.21","35.16"
"Yell","Yell","Dardanelle","US","AR","75","0",,"3","0",,"16.8928430654879","0.0",,,"17759.0","11940.0",,"221.0","0","1","1","0","0","0","93.09","35.11"
"Prince of Wales","PRINCE OF WALES",,"US","AK","01","0",,"1",,,,,,,,"1772.0",,"440.0",,,,,,,"0.0","0.0"
"Ketchikan","Ketchikan",,"US","AK","02","0",,,,,,,,,,"10070.0",,"497.0",,,,,,,"0.0","0.0"
"Wrangell Petersburg","Wrangell Petersburg",,"US","AK","03","0",,"5","1",,,,,,,"4181.0",,"363.0",,,,,,,"0.0","0.0"
"Sitka","Sitka",,"US","AK","04","0",,,,,,,,,,"6690.0",,"467.0",,,,,,,"0.0","0.0"
"Juneau","Juneau",,"US","AK","05","0",,"3",,,,,,,,"9745.0",,"646.0",,,,,,,"0.0","0.0"
"Lynn Canal","LYNN CANAL=ICY STRAI",,"US","AK","06","0",,"0",,,,,,,,"2945.0",,"421.0",,,,,,,"0.0","0.0"
"Cordova","CORDOVA=MCCARTHY",,"US","AK","07","0",,,,,,,,,,"1759.0",,"509.0",,,,,,,"0.0","0.0"
"Valdez Cordova","VALDEZ=CHITINA=WHITT",,"US","AK","08","0",,"4",,,,,,,,"2844.0",,"512.0",,,,,,,"0.0","0.0"
"Palmer","PALMER=WASILLA=TALKE",,"US","AK","09","0",,,,,,,,,,"5188.0",,"506.0",,,,,,,"0.0","0.0"
"Anchorage","Anchorage","Anchorage","US","AK","10","0",,"61","2",,,,,,,"82833.0",,"652.0",,,,,,,"0.0","0.0"
"Seward","Seward",,"US","AK","11","0",,,,,,,,,,"2956.0",,"517.0",,,,,,,"0.0","0.0"
"Kenai-Cook","KENAI-COOK",,"US","AK","12","0",,"16","3",,,,,,,"6095.0",,"496.0",,,,,,,"0.0","0.0"
"Kodiak Island","Kodiak Island",,"US","AK","13","0",,"6","1",,,,,,,"7174.0",,"491.0",,,,,,,"0.0","0.0"
"Aleutians","Aleutian Islands",,"US","AK","14","0",,"8","2",,,,,,,"6011.0",,"468.0",,,,,,,"0.0","0.0"
"Bristol Bay","Bristol Bay",,"US","AK","15","0",,"1",,,,,,,,"4024.0",,"313.0",,,,,,,"0.0","0.0"
"Bethel","Bethel",,"US","AK","16","0",,"8",,,,,,,,"5537.0",,"138.0",,,,,,,"0.0","0.0"
"Kuskokwim","Kuskokwim",,"US","AK","17","0",,"0",,,,,,,,"2301.0",,"297.0",,,,,,,"0.0","0.0"
"Yukon Koyukuk","Yukon Koyukuk",,"US","AK","18","0",,"8","5",,,,,,,"4097.0",,"402.0",,,,,,,"0.0","0.0"
