description,events,eventType,id,place,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type,sources,time,type,url
Nixon choisit la navette pour remplacer les lanceurs civils américains.,"",sighting,1972-01$,,"",1972-01,event,https://rr0.org/time/1/9/7/2/index.html#1972-01
"Aux USA un couple de jeunes gens se trouvant à proximité d'un objet volant discoïde : ils entendirent ce qui leur semble être la restitution de l'enregistrement de meuglements douloureux d'une vache, du cri d'un oiseau qu'on tue et des hurlements d'un chien.","",sighting,1972$,,""""","""",s7,"""",,Lecomte",1972,event,https://rr0.org/time/1/9/7/2/index.html
"Un commandant d'ovni rencontré dans le désert de Sonora avertit, Un soufq>ucléaire détruira une ville américaine dans 6 ans.","",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
"Lancement du projet Snowbird, dont la mission serait d'effectuer des vols expérimentaux sur des appareils extraterrestres récupérés.","",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
Création de la SOBEPS.,"",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
Réélection de Richard Nixon à la présidence des États-Unis. Il nomme Henry Kissinger Conseiller à la Sécurité Nationale.,"",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
"Au large des Açores, un navire expérimental de l'Institut du Pétrole permet de créer un polygone sous-marin de l'OTAN, officiellement afin d'étudier les courants. Il s'agirait en fait d'un laboratoire sous-marin de recherches acoustiques à usage exclusivement militaire (communication avec les sous-marins nucléaires ?).","",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
"Dans une montagne de la , en Uruguay, en Patagonie, en Terre de Feu, des bandes de terrain plat ou à flanc de colline rougeoient, sinon possèdent une pesanteur 3 fois plus importante que la normale et, en général, dans des régions où les populations observent fréquemment des ovnis.","",sighting,1972$CordillereDesAndesPerou,,,"",,"",Cordillère des Andes (Pérou),"",place,""""","""",s8,"""",,Gérard Cambri",1972,event,https://rr0.org/time/1/9/7/2/index.html
Naissance de Cray Research et de Prime Computer.,"",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
"Intel 8008, microprocesseur 8 bits.","",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
Internet challenge.,"",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
Fondation de la société allemande SAP.,"",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
Création du langage SmallTalk.,"",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
"Dennis Ritchie crée le langage C, basé sur la langage B, et nommé C en honneur au langage BCPL. Le nom du langage est un moment NB. Le compilateur C est inclus dans l'OS Unix.","",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
1ʳᵉ réelle application pour Prolog.,"",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
"Serveur HP 3000, première machine d'une lignée qui sera considérablement étoffée 4 ans plus tard.","",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
l'ARPA est renommé DARPA (Defense Advanced Research Projects Agency).,"",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
Ray Tomlinson de BBN réalise la première application réseau majeure pour ARPANET : un logiciel basique de courrier électronique répondant au besoin de communication des développeurs du réseau.,"",sighting,1972$,,"",1972,event,https://rr0.org/time/1/9/7/2/index.html
